ID,PLOT,BLOCK,TRT,REP,CODE,EVAL,DAP,FLM,FSM,FTM,FRM,NOT,sFLM,sFSM,sFTM,sFRM,sDLM,sDSM,sDTM,sDRM,,
64,16,4,Amarilis,4,AMA,E1,94,483.9,294.2,917.5,69.7,27,101,101.3,97.6,69.7,9,7.2,12.6,9.7,,
65,17,4,Bretaña,1,BRE,E1,94,567.7,579.1,246.2,95.7,14,100,99.5,103.6,95.7,10,5.9,17.4,11.2,,
66,17,4,Bretaña,2,BRE,E1,94,482.4,384.8,159.6,129.7,10,101.9,100.8,100.3,99.8,9.1,5.1,16.1,10.7,,
67,17,4,Bretaña,3,BRE,E1,94,909.6,628.6,326.6,140.8,16,100.5,100.9,99.5,100.7,8.8,6.9,16.7,12.8,,
68,17,4,Bretaña,4,BRE,E1,94,318.1,276.8,67.9,76,9,100.8,101.2,67.9,76,8.6,5.2,11.1,8.2,,
69,18,4,Huevo de Indio,1,HUE,E1,94,289.9,203.7,41.73,62.8,8,100.6,100.4,41.73,62.8,9.1,6.7,6,7.9,,
70,18,4,Huevo de Indio,2,HUE,E1,94,223.6,122,97.3,85.8,11,101.5,100.8,97.3,85.8,9.8,7.7,17,11.5,,
71,18,4,Huevo de Indio,3,HUE,E1,94,233.2,115.5,50.9,46.4,4,102.6,100.2,50.9,46.4,9.7,7.2,7.8,6.8,,
72,18,4,Huevo de Indio,4,HUE,E1,94,285.8,220.8,177.4,88.1,17,101.1,101.5,100.9,88.1,12.2,8.2,17.4,11,,
73,19,4,Poderosa,1,POD,E1,94,634.1,698.7,359.7,149.1,24,100.7,101.1,94.8,99.8,12.6,9.3,18,16,,
74,19,4,Poderosa,2,POD,E1,94,658.6,614.3,183.3,103.9,20,100.6,101.9,102.9,101.9,11.3,8.8,16.9,16.7,,
75,19,4,Poderosa,3,POD,E1,94,355.3,420.9,33,83.1,5,100.1,101.2,33,83.1,10.8,7.3,4.7,10.1,,
76,19,4,Poderosa,4,POD,E1,94,900,869.6,350.2,148.2,14,100.8,101.3,102.1,102.7,12.7,8.2,15.5,15.7,,
77,20,4,Yungay,1,YUN,E1,94,528.7,393,174,166.9,8,99.8,101.2,110.6,100.2,11.3,6,12.8,9.1,,
78,20,4,Yungay,2,YUN,E1,94,435.5,201.8,67.5,132.8,8,101.5,101.8,67.5,101.8,11.2,6.9,7.5,10,,
79,20,4,Yungay,3,YUN,E1,94,366.8,194.7,209.5,119.4,10,100.8,100.2,102.2,101.6,10.7,5.6,11.8,9.4,,
80,20,4,Yungay,4,YUN,E1,94,163.2,79.5,1.7,68.9,1,101.7,79.5,1.7,68.9,9.7,4.8,0.2,6.6,,
81,1,1,Yungay,1,YUN,E2,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
82,1,1,Yungay,2,YUN,E2,113,729.6,554.9,954.4,152.3,15,100.1,100.2,108.4,102.7,9.3,7.6,16.2,11.8,,
83,1,1,Yungay,3,YUN,E2,113,152.5,220.2,1165.5,169.7,25,100.5,100.3,98.7,100.4,10.7,8.1,15.1,12.6,,
84,1,1,Yungay,4,YUN,E2,113,828.6,684.1,146.1,33.4,7,100.2,100.7,114.5,33.4,11.3,6.6,18.3,4.7,,
85,2,1,Huevo de Indio,1,HUE,E2,113,427,442.9,505.1,104.4,23,100.6,100.1,99,99.6,9.2,8.3,19.4,12.7,,
86,2,1,Huevo de Indio,2,HUE,E2,113,606.7,603.1,908.8,147.9,22,100.1,100.9,100.5,99.9,13,8.8,21.7,12.4,,
87,2,1,Huevo de Indio,3,HUE,E2,113,664.5,523.1,641.8,115.4,18,100.8,100.4,102.5,100.9,10.1,8.2,20,13,,
88,2,1,Huevo de Indio,4,HUE,E2,113,306.6,267.5,456.9,50.1,12,100.4,100.2,103.7,50.1,11.5,NA,21.9,6.9,,
89,3,1,Poderosa,1,POD,E2,113,549.5,693.2,457.5,98.5,14,100,100.4,104.9,98.5,13.4,10.9,21.8,18.8,,
90,3,1,Poderosa,2,POD,E2,113,423,556,502.4,99.5,13,100.3,100.2,98.4,99.5,12.5,11.3,19,17.3,,
91,3,1,Poderosa,3,POD,E2,113,465.9,627.4,895.9,152.1,37,100.1,100.5,103.1,100.5,11.5,12.4,20.1,15.6,,
92,3,1,Poderosa,4,POD,E2,113,709.1,776.4,501.8,106,28,100.8,100.3,103.9,106,12.7,11.9,21.4,20.1,,
93,4,1,Bretaña,1,BRE,E2,113,1488.7,1591.9,1123.4,193.7,20,100.8,100.7,105,100.2,10.2,6.9,20.7,14.4,,
94,4,1,Bretaña,2,BRE,E2,113,1020.2,1183.4,771,195.5,12,100.2,100.4,113.3,102.7,9.9,7.3,20.9,10.8,,
95,4,1,Bretaña,3,BRE,E2,113,534.3,708.2,978.2,266,18,100.1,100.3,112.7,99.6,8.8,6.9,21.4,10,,
96,4,1,Bretaña,4,BRE,E2,113,1227.3,1207.4,499.8,118,11,100.1,100.7,99.7,99.1,9.7,8,18.1,10.3,,
97,5,1,Amarilis,1,AMA,E2,101,500.5,270,477.1,123.6,23,100.9,103.6,117,101.3,8.5,6.8,13.9,10.2,,
98,5,1,Amarilis,2,AMA,E2,101,624.6,269.1,702.6,85,21,101.7,101,112.4,85,8.5,7.3,13.8,10.5,,
99,5,1,Amarilis,3,AMA,E2,101,505,247.7,1095,61.2,20,101.2,101,103.9,61.2,8.8,6.8,11.8,8.4,,
100,5,1,Amarilis,4,AMA,E2,101,1119,586,1888.5,107.6,14,101.1,104.7,107.2,101.3,9.4,7.1,14.2,12.8,,
101,6,2,Yungay,1,YUN,E2,113,598.8,472.2,77.4,206.5,4,100.4,100.6,77.4,98.7,9.9,7.7,8.8,11.2,,
102,6,2,Yungay,2,YUN,E2,113,485.6,248.8,554,80.3,8,100.8,101.6,101.4,80.3,9.2,6.6,10.8,7.6,,
103,6,2,Yungay,3,YUN,E2,113,287.6,194,176.4,84.3,6,100.2,100.3,98.5,84.3,9.3,6.6,11.2,7.5,,
104,6,2,Yungay,4,YUN,E2,113,704.5,531.1,394.9,204.7,9,100.5,100.3,103.3,104.7,10,7.5,20.8,10.2,,
105,7,2,Amarilis,1,AMA,E2,101,733.1,524.7,2063.7,114,29,101.6,103.9,105.6,103.1,9.1,8.4,18.2,15.3,,
106,7,2,Amarilis,2,AMA,E2,101,755.9,388.7,1645.5,116.2,17,102.9,101.8,101.1,101.4,8.2,7.6,16.4,11,,
107,7,2,Amarilis,3,AMA,E2,101,1009.9,633.3,2138.2,108.7,16,101.3,101.9,102.8,101.4,9.2,8.1,18.7,13.4,,
108,7,2,Amarilis,4,AMA,E2,101,576.5,336.8,1653.8,81.4,19,100.8,101.4,102.7,81.4,10,8.3,18.6,11.1,,
109,8,2,Huevo de Indio,1,HUE,E2,113,321.2,205.2,443.9,127.6,15,101.3,100.5,99.1,100.7,12.5,8.8,22.7,11.6,,
110,8,2,Huevo de Indio,2,HUE,E2,113,361,328.6,141.6,178.3,9,101,100.1,92.7,99.9,11,7.8,14.4,10.8,,
111,8,2,Huevo de Indio,3,HUE,E2,113,453.3,369.5,354.6,164.5,14,100.6,100.7,101.5,109.2,12.1,9.6,20.3,14.7,,
112,8,2,Huevo de Indio,4,HUE,E2,113,193.6,155.3,562.1,120.7,18,100.2,100,100.9,100.5,12.1,8.7,20.5,13,,
113,9,2,Bretaña,1,BRE,E2,113,848.4,953,352,142.6,11,100.2,100.8,105.6,103.1,9.5,6.7,18.7,12.4,,
114,9,2,Bretaña,2,BRE,E2,113,707.7,898.7,462.5,96.4,12,100.7,100.7,96.5,96.4,9.8,7.9,18.4,11.6,,
115,9,2,Bretaña,3,BRE,E2,113,549.6,759.1,200.3,104.7,6,100.2,100.5,101,98.7,9.9,6.6,18.6,10.7,,
116,9,2,Bretaña,4,BRE,E2,113,432.5,420.1,327.8,70.8,12,100.8,99.9,101.7,70.8,10.5,7.5,19.6,7.6,,
117,10,2,Poderosa,1,POD,E2,113,664.6,823.6,947.3,212.2,16,100.8,100.4,104.7,105,13.4,13,19.8,21.8,,
118,10,2,Poderosa,2,POD,E2,113,839.5,1439.8,818.7,133.3,16,100.5,100.6,104.3,105,12.9,13,22.2,22.3,,
119,10,2,Poderosa,3,POD,E2,113,593.3,931.6,534.3,119.5,9,100.5,100.6,104.2,100.3,9,8.1,20.2,14.3,,
