ID,PLOT,BLOCK,TRT,REP,CODE,EVAL,DAP,FLM,FSM,FTM,FRM,NOT,sFLM,sFSM,sFTM,sFRM,sDLM,sDSM,sDTM,sDRM,,
374,14,3,Poderosa,2,POD,E5,178,75,150.4,1962.4,21.8,25,75,104,112,21.8,48.7,52.9,27.3,8,,
375,14,3,Poderosa,3,POD,E5,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
376,14,3,Poderosa,4,POD,E5,178,41.4,60.5,1609.7,16.4,11,41.4,60.5,NA,16.4,25.1,37.9,NA,6.6,,
377,15,3,Huevo de Indio,1,HUE,E5,178,33,36.2,1747.2,10.8,14,33,36.2,123.2,10.9,19.8,19.2,25.2,3.9,,
378,15,3,Huevo de Indio,2,HUE,E5,178,69.6,196.8,2060.3,28.2,14,69.6,104.2,92.4,28.2,34.3,17.6,15.6,6.1,,
379,15,3,Huevo de Indio,3,HUE,E5,178,170.7,237.5,2636.2,62.6,18,101.8,100,99,62.6,29.2,16.6,19.7,15.4,,
380,15,3,Huevo de Indio,4,HUE,E5,178,152.4,268.4,1951,51.1,19,100.6,100.7,NA,51.1,34.9,13.4,NA,10.5,,
381,16,4,Amarilis,1,AMA,E5,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
382,16,4,Amarilis,2,AMA,E5,154,130.1,205.8,3162.5,38.9,21,102.9,102.1,101.2,38.9,32.4,9.1,12.8,6.3,,
383,16,4,Amarilis,3,AMA,E5,154,215.4,236.1,2449.6,29.2,10,100.5,102.3,110.8,29.2,17.5,8.8,13.3,5,,
384,16,4,Amarilis,4,AMA,E5,154,266,255.5,2554,30.4,18,100.5,102,100.2,30.4,15.9,7.2,14.9,5.8,,
385,17,4,Bretaña,1,BRE,E5,178,126.6,514.9,2227.8,40.6,17,102.8,102.9,124.4,40.6,29.5,15.1,24.4,7.8,,
386,17,4,Bretaña,2,BRE,E5,178,292.1,576,1442.2,82.5,14,97.4,100.7,116.3,82.5,15,8.8,20.9,15.6,,
387,17,4,Bretaña,3,BRE,E5,178,78.3,260.8,1797.9,84.2,20,78.3,103.6,110,84.2,25.9,16.8,19.6,19.2,,
388,17,4,Bretaña,4,BRE,E5,178,151.5,524.7,104.6,87.8,18,80,101.2,88.6,87.9,24.2,13.3,20.3,15,,
389,18,4,Huevo de Indio,1,HUE,E5,178,45.4,112.1,1431.8,47.7,19,45.4,100.9,111,47.7,19.6,13.9,24.5,13.8,,
390,18,4,Huevo de Indio,2,HUE,E5,178,26.7,17.3,457.5,20.6,7,26.7,17.3,118.3,20.6,10.4,5.9,27.6,6.7,,
391,18,4,Huevo de Indio,3,HUE,E5,178,91.4,212.4,1728.1,14.2,22,84.4,102.7,102,14.2,41.4,10.9,27.3,11.9,,
392,18,4,Huevo de Indio,4,HUE,E5,178,14.2,16.8,501,23.5,13,14.2,16.8,108.4,23.5,8.1,7.1,27.9,7.3,,
393,19,4,Poderosa,1,POD,E5,178,40.3,76.2,2104.2,25,26,40.3,76.2,117.2,24.9,30.5,51,28.9,8,,
394,19,4,Poderosa,2,POD,E5,178,33.7,106.6,1475.7,50.4,13,33.1,106.5,115.5,50.4,20.8,60.5,28.9,16.2,,
395,19,4,Poderosa,3,POD,E5,178,58,78,1932.4,60.7,23,58,78,110.8,60.6,40.5,49.3,25.1,19.9,,
396,19,4,Poderosa,4,POD,E5,178,37.7,97.2,1183,64.8,14,37.7,97.2,124.1,64.8,28,62.2,30.2,23.6,,
397,20,4,Yungay,1,YUN,E5,178,26.2,74.9,1762.8,42.3,28,26.2,74.9,115.4,42.3,17.6,28.9,22.9,13.1,,
398,20,4,Yungay,2,YUN,E5,178,34.3,61,2844.9,35.6,25,34.3,61,98.9,35.6,21.1,30.8,19.1,10.9,,
399,20,4,Yungay,3,YUN,E5,178,39.3,73,2026.9,28.5,17,39.3,73,100.4,28.5,25.7,33.1,16,7.5,,
400,20,4,Yungay,4,YUN,E5,178,34.1,215.2,3686,110.6,32,34.1,101.2,101.4,100.9,20.3,25.6,20.8,14.8,,
